,Architecture,Source Dataset,Target Dataset,Oracle
526,bam_resnet50,Unknown,germ,0.717948717948718
527,alexnet,Unknown,germ,0.6217948717948718
528,zfnet,Unknown,germ,0.6666666666666666
529,vgg19,Unknown,germ,0.7371794871794872
530,resnet10,Unknown,germ,0.6474358974358975
531,resnet18,Unknown,germ,0.6923076923076923
532,resnet20_cifar10,Unknown,germ,0.4743589743589743
533,resnet20_cifar100,Unknown,germ,0.5512820512820513
534,resnet20_svhn,Unknown,germ,0.4294871794871794
535,resnet50,Unknown,germ,0.7115384615384616
536,resnet56_cifar10,Unknown,germ,0.4294871794871794
537,resnet56_cifar100,Unknown,germ,0.4871794871794871
538,resnet56_svhn,Unknown,germ,0.4487179487179487
539,resnet101,Unknown,germ,0.7371794871794872
540,preresnet10,Unknown,germ,0.6538461538461539
541,preresnet18,Unknown,germ,0.7115384615384616
542,preresnet20_cifar10,Unknown,germ,0.4102564102564102
543,preresnet20_cifar100,Unknown,germ,0.4679487179487179
544,preresnet20_svhn,Unknown,germ,0.4038461538461538
545,preresnet50,Unknown,germ,0.6923076923076923
546,preresnet56_cifar10,Unknown,germ,0.3974358974358974
547,preresnet56_cifar100,Unknown,germ,0.4679487179487179
548,preresnet56_svhn,Unknown,germ,0.3974358974358974
549,preresnet101,Unknown,germ,0.75
550,resnext14_16x4d,Unknown,germ,0.7115384615384616
551,resnext14_32x2d,Unknown,germ,0.6730769230769231
552,resnext14_32x4d,Unknown,germ,0.6346153846153846
553,seresnet10,Unknown,germ,0.6858974358974359
554,seresnet18,Unknown,germ,0.6923076923076923
555,seresnet50,Unknown,germ,0.6923076923076923
556,seresnet101,Unknown,germ,0.7243589743589743
557,seresnet56_cifar10,Unknown,germ,0.4230769230769231
558,seresnet56_cifar100,Unknown,germ,0.4935897435897436
559,seresnet56_svhn,Unknown,germ,0.4423076923076923
560,sepreresnet10,Unknown,germ,0.717948717948718
561,sepreresnet18,Unknown,germ,0.6923076923076923
562,seresnext50_32x4d,Unknown,germ,0.7628205128205128
563,senet16,Unknown,germ,0.6858974358974359
564,senet28,Unknown,germ,0.7435897435897436
565,resnesta18,Unknown,germ,0.7243589743589743
566,ibn_resnet50,Unknown,germ,0.7115384615384616
567,ibn_densenet121,Unknown,germ,0.7628205128205128
568,airnet50_1x64d_r2,Unknown,germ,0.7371794871794872
569,airnext50_32x4d_r2,Unknown,germ,0.75
570,cbam_resnet50,Unknown,germ,0.7243589743589743
571,scnet50,Unknown,germ,0.7435897435897436
572,scnet101,Unknown,germ,0.6538461538461539
573,regnetx002,Unknown,germ,0.6794871794871795
574,regnetx004,Unknown,germ,0.717948717948718
575,regnetx006,Unknown,germ,0.6923076923076923
576,regnetx008,Unknown,germ,0.6923076923076923
577,regnety002,Unknown,germ,0.6474358974358975
578,regnety004,Unknown,germ,0.6474358974358975
579,regnety006,Unknown,germ,0.6602564102564102
580,regnety008,Unknown,germ,0.7115384615384616
581,diracnet18v2,Unknown,germ,0.6217948717948718
582,diracnet34v2,Unknown,germ,0.6410256410256411
583,densenet121,Unknown,germ,0.6794871794871795
584,espnetv2_wd2,Unknown,germ,0.6538461538461539
585,hrnet_w18_small_v1,Unknown,germ,0.6794871794871795
586,hrnetv2_w18,Unknown,germ,0.75
587,ror3_56_cifar10,Unknown,germ,0.4230769230769231
588,ror3_56_cifar100,Unknown,germ,0.4487179487179487
589,ror3_56_svhn,Unknown,germ,0.4230769230769231
590,condensenet74_c4_g4,Unknown,germ,0.7628205128205128
591,condensenet74_c8_g8,Unknown,germ,0.6923076923076923
592,shakeshakeresnet20_2x16d_cifar10,Unknown,germ,0.5128205128205128
593,shakeshakeresnet20_2x16d_cifar100,Unknown,germ,0.5
594,shakeshakeresnet20_2x16d_svhn,Unknown,germ,0.3653846153846153
595,peleenet,Unknown,germ,0.7115384615384616
596,wrn50_2,Unknown,germ,0.7115384615384616
597,espnetv2_w1,Unknown,germ,0.7435897435897436
598,vovnet27s,Unknown,germ,0.6602564102564102
599,vovnet57,Unknown,germ,0.7307692307692307
600,selecsls60,Unknown,germ,0.7307692307692307
601,hardnet39ds,Unknown,germ,0.6858974358974359
602,hardnet68,Unknown,germ,0.7435897435897436
603,sqnxt23_w1,Unknown,germ,0.5833333333333334
604,sqnxt23_w2,Unknown,germ,0.6858974358974359
605,shufflenet_g1_w1,Unknown,germ,0.6730769230769231
606,shufflenet_g4_w1,Unknown,germ,0.6346153846153846
607,menet108_8x1_g3,Unknown,germ,0.6474358974358975
608,menet160_8x1_g8,Unknown,germ,0.6089743589743589
609,mobilenet_w1,Unknown,germ,0.6666666666666666
610,mobilenet_w3d4,Unknown,germ,0.7051282051282052
611,fdmobilenet_w1,Unknown,germ,0.6602564102564102
612,igcv3_w1,Unknown,germ,0.7628205128205128
613,igcv3_wd4,Unknown,germ,0.5769230769230769
614,mnasnet_b1,Unknown,germ,0.7115384615384616
615,darts,Unknown,germ,0.6730769230769231
616,proxylessnas_gpu,Unknown,germ,0.6987179487179487
617,fbnet_cb,Unknown,germ,0.7115384615384616
618,xception,Unknown,germ,0.7371794871794872
619,inceptionv3,Unknown,germ,0.7051282051282052
620,inceptionv4,Unknown,germ,0.7307692307692307
621,nasnet_4a1056,Unknown,germ,0.7115384615384616
622,spnasnet,Unknown,germ,0.717948717948718
623,efficientnet_b0,Unknown,germ,0.7435897435897436
624,efficientnet_b1,Unknown,germ,0.782051282051282
625,efficientnet_b0b,Unknown,germ,0.717948717948718
626,efficientnet_edge_large_b,Unknown,germ,0.717948717948718
627,mixnet_l,Unknown,germ,0.75
628,mobilenet_w1_cub,Unknown,germ,0.5576923076923077
629,proxylessnas_mobile_cub,Unknown,germ,0.5833333333333334
630,bninception,Unknown,nature,0.9956427015250544
631,bam_resnet50,Unknown,nature,0.9978213507625272
632,alexnet,Unknown,nature,0.9927378358750908
633,zfnet,Unknown,nature,0.9920116194626
634,vgg19,Unknown,nature,0.998547567175018
635,resnet10,Unknown,nature,0.990559186637618
636,resnet18,Unknown,nature,0.9920116194626
637,resnet20_cifar10,Unknown,nature,0.9665940450254176
638,resnet20_cifar100,Unknown,nature,0.9658678286129266
639,resnet20_svhn,Unknown,nature,0.9382716049382716
640,resnet50,Unknown,nature,0.9970951343500364
641,resnet56_cifar10,Unknown,nature,0.9753086419753086
642,resnet56_cifar100,Unknown,nature,0.9702251270878722
643,resnet56_svhn,Unknown,nature,0.944081336238199
644,resnet101,Unknown,nature,0.9963689179375452
645,preresnet10,Unknown,nature,0.9934640522875816
646,preresnet18,Unknown,nature,0.9941902687000728
647,preresnet20_cifar10,Unknown,nature,0.9680464778503994
648,preresnet20_cifar100,Unknown,nature,0.9651416122004356
649,preresnet20_svhn,Unknown,nature,0.9331880900508353
650,preresnet50,Unknown,nature,0.9949164851125636
651,preresnet56_cifar10,Unknown,nature,0.9760348583877996
652,preresnet56_cifar100,Unknown,nature,0.9651416122004356
653,preresnet56_svhn,Unknown,nature,0.9389978213507624
654,preresnet101,Unknown,nature,0.9978213507625272
655,resnext14_16x4d,Unknown,nature,0.9927378358750908
656,resnext14_32x2d,Unknown,nature,0.990559186637618
657,resnext14_32x4d,Unknown,nature,0.9934640522875816
658,seresnet10,Unknown,nature,0.9934640522875816
659,seresnet18,Unknown,nature,0.9963689179375452
660,seresnet50,Unknown,nature,0.9970951343500364
661,seresnet101,Unknown,nature,0.9956427015250544
662,seresnet56_cifar10,Unknown,nature,0.971677559912854
663,seresnet56_cifar100,Unknown,nature,0.9731299927378358
664,seresnet56_svhn,Unknown,nature,0.9491648511256354
665,sepreresnet10,Unknown,nature,0.9927378358750908
666,sepreresnet18,Unknown,nature,0.9934640522875816
667,seresnext50_32x4d,Unknown,nature,0.9970951343500364
668,senet16,Unknown,nature,0.9949164851125636
669,senet28,Unknown,nature,0.9963689179375452
670,resnesta18,Unknown,nature,0.9963689179375452
671,ibn_resnet50,Unknown,nature,0.9970951343500364
672,ibn_densenet121,Unknown,nature,0.9978213507625272
673,airnet50_1x64d_r2,Unknown,nature,0.9978213507625272
674,airnext50_32x4d_r2,Unknown,nature,0.9970951343500364
675,cbam_resnet50,Unknown,nature,0.998547567175018
676,scnet50,Unknown,nature,0.9978213507625272
677,scnet101,Unknown,nature,0.998547567175018
678,regnetx002,Unknown,nature,0.9934640522875816
679,regnetx004,Unknown,nature,0.9941902687000728
680,regnetx006,Unknown,nature,0.9956427015250544
681,regnetx008,Unknown,nature,0.9970951343500364
682,regnety002,Unknown,nature,0.9963689179375452
683,regnety004,Unknown,nature,0.9970951343500364
684,regnety006,Unknown,nature,0.9970951343500364
685,regnety008,Unknown,nature,0.9949164851125636
686,diracnet18v2,Unknown,nature,0.9920116194626
687,diracnet34v2,Unknown,nature,0.9920116194626
688,densenet121,Unknown,nature,0.9956427015250544
689,espnetv2_wd2,Unknown,nature,0.9854756717501816
690,hrnet_w18_small_v1,Unknown,nature,0.9949164851125636
691,hrnetv2_w18,Unknown,nature,0.9949164851125636
692,ror3_56_cifar10,Unknown,nature,0.9651416122004356
693,ror3_56_cifar100,Unknown,nature,0.9680464778503994
694,ror3_56_svhn,Unknown,nature,0.9462599854756718
695,condensenet74_c4_g4,Unknown,nature,0.9956427015250544
696,condensenet74_c8_g8,Unknown,nature,0.9941902687000728
697,shakeshakeresnet20_2x16d_cifar10,Unknown,nature,0.9680464778503994
698,shakeshakeresnet20_2x16d_cifar100,Unknown,nature,0.9760348583877996
699,shakeshakeresnet20_2x16d_svhn,Unknown,nature,0.9375453885257808
700,peleenet,Unknown,nature,0.9949164851125636
701,wrn50_2,Unknown,nature,0.9963689179375452
702,espnetv2_w1,Unknown,nature,0.9941902687000728
703,vovnet27s,Unknown,nature,0.9934640522875816
704,vovnet57,Unknown,nature,0.9963689179375452
705,selecsls60,Unknown,nature,0.9970951343500364
706,hardnet39ds,Unknown,nature,0.9934640522875816
707,hardnet68,Unknown,nature,0.9920116194626
708,sqnxt23_w1,Unknown,nature,0.9927378358750908
709,sqnxt23_w2,Unknown,nature,0.9927378358750908
710,shufflenet_g1_w1,Unknown,nature,0.9920116194626
711,shufflenet_g4_w1,Unknown,nature,0.9949164851125636
712,menet108_8x1_g3,Unknown,nature,0.9934640522875816
713,menet160_8x1_g8,Unknown,nature,0.9862018881626724
714,mobilenet_w1,Unknown,nature,0.9970951343500364
715,mobilenet_w3d4,Unknown,nature,0.9941902687000728
716,fdmobilenet_w1,Unknown,nature,0.9920116194626
717,igcv3_w1,Unknown,nature,0.9949164851125636
718,igcv3_wd4,Unknown,nature,0.9912854030501088
719,mnasnet_b1,Unknown,nature,0.9934640522875816
720,darts,Unknown,nature,0.9941902687000728
721,proxylessnas_gpu,Unknown,nature,0.9963689179375452
722,fbnet_cb,Unknown,nature,0.9956427015250544
723,xception,Unknown,nature,0.9978213507625272
724,inceptionv3,Unknown,nature,0.9992737835875092
725,inceptionv4,Unknown,nature,0.9978213507625272
726,nasnet_4a1056,Unknown,nature,0.9949164851125636
727,spnasnet,Unknown,nature,0.9949164851125636
728,efficientnet_b0,Unknown,nature,0.9949164851125636
729,efficientnet_b1,Unknown,nature,0.9956427015250544
730,efficientnet_b0b,Unknown,nature,0.9949164851125636
731,efficientnet_edge_large_b,Unknown,nature,0.9956427015250544
732,mixnet_l,Unknown,nature,0.9978213507625272
733,mobilenet_w1_cub,Unknown,nature,0.9862018881626724
734,proxylessnas_mobile_cub,Unknown,nature,0.9854756717501816
