,Architecture,Source Dataset,Target Dataset,Oracle
120,preresnet10,Unknown,yoga,0.9331742243436754
121,preresnet18,Unknown,yoga,0.9665871121718376
122,preresnet20_cifar10,Unknown,yoga,0.9498806682577564
123,preresnet20_cifar100,Unknown,yoga,0.9331742243436754
124,preresnet20_svhn,Unknown,yoga,0.9045346062052506
125,preresnet50,Unknown,yoga,0.954653937947494
126,preresnet56_cifar10,Unknown,yoga,0.9451073985680192
127,preresnet56_cifar100,Unknown,yoga,0.935560859188544
128,preresnet56_svhn,Unknown,yoga,0.9212410501193318
129,preresnet101,Unknown,yoga,0.9713603818615753
130,resnext14_16x4d,Unknown,yoga,0.9427207637231504
131,resnext14_32x2d,Unknown,yoga,0.9236276849642004
132,resnext14_32x4d,Unknown,yoga,0.9498806682577564
133,seresnet10,Unknown,yoga,0.9427207637231504
134,seresnet18,Unknown,yoga,0.954653937947494
135,seresnet50,Unknown,yoga,0.964200477326969
136,seresnet101,Unknown,yoga,0.9594272076372315
137,seresnet56_cifar10,Unknown,yoga,0.9522673031026252
138,seresnet56_cifar100,Unknown,yoga,0.9474940334128878
139,seresnet56_svhn,Unknown,yoga,0.9451073985680192
140,sepreresnet10,Unknown,yoga,0.954653937947494
141,sepreresnet18,Unknown,yoga,0.9570405727923628
142,seresnext50_32x4d,Unknown,yoga,0.9785202863961814
143,senet16,Unknown,yoga,0.954653937947494
144,senet28,Unknown,yoga,0.9474940334128878
145,resnesta18,Unknown,yoga,0.9498806682577564
146,ibn_resnet50,Unknown,yoga,0.9713603818615753
147,ibn_densenet121,Unknown,yoga,0.9665871121718376
148,airnet50_1x64d_r2,Unknown,yoga,0.9761336515513126
149,airnext50_32x4d_r2,Unknown,yoga,0.9689737470167064
150,cbam_resnet50,Unknown,yoga,0.9665871121718376
151,scnet50,Unknown,yoga,0.964200477326969
152,scnet101,Unknown,yoga,0.9713603818615753
153,regnetx002,Unknown,yoga,0.9474940334128878
154,regnetx004,Unknown,yoga,0.9618138424821002
155,regnetx006,Unknown,yoga,0.9498806682577564
156,regnetx008,Unknown,yoga,0.9474940334128878
157,regnety002,Unknown,yoga,0.954653937947494
158,regnety004,Unknown,yoga,0.9570405727923628
159,regnety006,Unknown,yoga,0.9689737470167064
160,regnety008,Unknown,yoga,0.9665871121718376
161,diracnet18v2,Unknown,yoga,0.9618138424821002
162,diracnet34v2,Unknown,yoga,0.9570405727923628
163,densenet121,Unknown,yoga,0.9665871121718376
164,espnetv2_wd2,Unknown,yoga,0.9451073985680192
165,hrnet_w18_small_v1,Unknown,yoga,0.9618138424821002
166,hrnetv2_w18,Unknown,yoga,0.9689737470167064
167,ror3_56_cifar10,Unknown,yoga,0.928400954653938
168,ror3_56_cifar100,Unknown,yoga,0.9379474940334128
169,ror3_56_svhn,Unknown,yoga,0.9116945107398567
170,condensenet74_c4_g4,Unknown,yoga,0.9713603818615753
171,condensenet74_c8_g8,Unknown,yoga,0.964200477326969
172,shakeshakeresnet20_2x16d_cifar10,Unknown,yoga,0.9379474940334128
173,shakeshakeresnet20_2x16d_cifar100,Unknown,yoga,0.9474940334128878
174,shakeshakeresnet20_2x16d_svhn,Unknown,yoga,0.9260143198090692
175,peleenet,Unknown,yoga,0.9689737470167064
176,wrn50_2,Unknown,yoga,0.9665871121718376
177,espnetv2_w1,Unknown,yoga,0.9618138424821002
178,vovnet27s,Unknown,yoga,0.964200477326969
179,vovnet57,Unknown,yoga,0.9665871121718376
180,selecsls60,Unknown,yoga,0.9594272076372315
181,hardnet39ds,Unknown,yoga,0.9594272076372315
182,hardnet68,Unknown,yoga,0.9498806682577564
